"","SampleName","Well","Reef","Site","Habitat","Pale","Group","Temperature","PAR","ETR","QY"
"55","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1144.64,104.5415,0.23
"56","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1265.25,102.0469,0.2
"57","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1385.86,100.519,0.18
"58","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1506.47,98.8387,0.16
"59","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1627.08,92.3494,0.14
"60","LB 1",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1747.69,85.7912,0.12
"61","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,59.15,10.6774,0.45
"62","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,179.76,23.8762,0.33
"63","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,300.37,34.1376,0.28
"64","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,420.98,41.1855,0.24
"65","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,541.59,44.748,0.21
"66","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,662.2,45.2278,0.17
"67","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,782.81,45.1748,0.14
"68","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,903.42,42.8137,0.12
"69","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1024.03,43.7823,0.11
"70","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1144.64,41.1475,0.09
"71","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1265.25,40.681,0.08
"72","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1385.86,34.1322,0.06
"73","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1506.47,38.5869,0.06
"74","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1627.08,32.3916,0.05
"75","LB 1",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1747.69,27.5673,0.04
"76","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,59.15,6.9088,0.29
"77","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,179.76,8.5752,0.12
"78","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,300.37,7.7176,0.06
"79","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,420.98,6.6136,0.04
"80","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,541.59,6.6251,0.03
"81","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,662.2,4.302,0.02
"82","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,782.81,3.0837,0.01
"83","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,903.42,2.1603,0.01
"84","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1024.03,1.3154,0
"85","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1144.64,-1.2085,0
"86","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1265.25,0.1045,0
"87","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1385.86,-1.2354,0
"88","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1506.47,3.2755,0.01
"89","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1627.08,-0.1707,0
"90","LB 1",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1747.69,1.4444,0
"91","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,59.15,14.9503,0.63
"92","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,179.76,41.6354,0.58
"93","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,300.37,61.0238,0.51
"94","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,420.98,73.7889,0.44
"95","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,541.59,83.3915,0.38
"96","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,662.2,90.3931,0.34
"97","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,782.81,95.5547,0.31
"98","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,903.42,98.6725,0.27
"99","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1024.03,100.9583,0.25
"100","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1144.64,101.1766,0.22
"101","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1265.25,98.168,0.19
"102","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1385.86,99.797,0.18
"103","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1506.47,97.9196,0.16
"104","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1627.08,97.2245,0.15
"105","LB 2",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1747.69,95.8899,0.14
"106","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,59.15,14.5133,0.61
"107","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,179.76,39.6045,0.55
"108","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,300.37,58.8361,0.49
"109","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,420.98,73.1612,0.43
"110","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,541.59,82.4928,0.38
"111","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,662.2,89.7368,0.34
"112","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,782.81,95.7197,0.31
"113","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,903.42,97.1733,0.27
"114","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1024.03,97.5214,0.24
"115","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1144.64,96.4812,0.21
"116","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1265.25,97.292,0.19
"117","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1385.86,97.195,0.18
"118","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1506.47,97.9028,0.16
"119","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1627.08,95.9258,0.15
"120","LB 2",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1747.69,87.6361,0.13
"121","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,59.15,14.4823,0.61
"122","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,179.76,39.6877,0.55
"123","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,300.37,58.864,0.49
"124","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,420.98,73.1141,0.43
"125","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,541.59,83.2715,0.38
"126","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,662.2,91.7536,0.35
"127","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,782.81,97.2624,0.31
"128","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,903.42,101.6537,0.28
"129","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1024.03,103.8857,0.25
"130","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1144.64,105.3106,0.23
"131","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1265.25,104.4145,0.21
"132","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1385.86,101.2468,0.18
"133","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1506.47,102.2654,0.17
"134","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1627.08,99.8823,0.15
"135","LB 2",3,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",31.5,1747.69,91.7649,0.13
"136","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,59.15,13.8876,0.59
"137","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,179.76,37.3432,0.52
"138","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,300.37,56.5199,0.47
"139","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,420.98,72.8316,0.43
"140","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,541.59,85.2554,0.39
"141","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,662.2,94.2739,0.36
"142","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,782.81,101.593,0.32
"143","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,903.42,105.4405,0.29
"144","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1024.03,105.8007,0.26
"145","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1144.64,106.5354,0.23
"146","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1265.25,102.5869,0.2
"147","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1385.86,97.7542,0.18
"148","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1506.47,94.1128,0.16
"149","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1627.08,89.808,0.14
"150","LB 2",4,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",34.5,1747.69,86.0314,0.12
"151","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,59.15,11.0195,0.47
"152","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,179.76,24.2539,0.34
"153","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,300.37,30.8148,0.26
"154","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,420.98,34.0113,0.2
"155","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,541.59,35.5487,0.16
"156","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,662.2,33.9269,0.13
"157","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,782.81,31.4985,0.1
"158","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,903.42,28.8992,0.08
"159","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1024.03,24.4476,0.06
"160","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1144.64,22.6913,0.05
"161","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1265.25,16.0346,0.03
"162","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1385.86,14.6723,0.03
"163","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1506.47,17.1871,0.03
"164","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1627.08,7.9418,0.01
"165","LB 2",5,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",35.75,1747.69,12.0804,0.02
"166","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,59.15,9.2564,0.39
"167","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,179.76,12.1182,0.17
"168","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,300.37,10.9655,0.09
"169","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,420.98,9.5547,0.06
"170","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,541.59,7.8067,0.04
"171","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,662.2,5.7223,0.02
"172","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,782.81,4.7526,0.02
"173","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,903.42,3.4584,0.01
"174","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1024.03,4.9682,0.01
"175","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1144.64,2.8012,0.01
"176","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1265.25,-0.8396,0
"177","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1385.86,4.1891,0.01
"178","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1506.47,0.7713,0
"179","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1627.08,-0.3545,0
"180","LB 2",6,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",37,1747.69,-2.1827,0
"181","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,59.15,14.7507,0.62
"182","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,179.76,41.5329,0.58
"183","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,300.37,64.1027,0.53
"184","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,420.98,82.6341,0.49
"185","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,541.59,97.7207,0.45
"186","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,662.2,109.1515,0.41
"187","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,782.81,118.8156,0.38
"188","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,903.42,126.5793,0.35
"189","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1024.03,132.6164,0.32
"190","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1144.64,135.6331,0.3
"191","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1265.25,137.128,0.27
"192","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1385.86,138.3763,0.25
"193","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1506.47,136.7773,0.23
"194","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1627.08,132.0164,0.2
"195","LB 3",1,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",24.5,1747.69,130.2528,0.19
"196","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,59.15,14.2845,0.6
"197","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,179.76,39.3147,0.55
"198","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,300.37,59.8933,0.5
"199","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,420.98,76.7915,0.46
"200","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,541.59,90.0826,0.42
"201","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,662.2,100.826,0.38
"202","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,782.81,109.0861,0.35
"203","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,903.42,114.0196,0.32
"204","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1024.03,118.6185,0.29
"205","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1144.64,120.2683,0.26
"206","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1265.25,120.6537,0.24
"207","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1385.86,120.9168,0.22
"208","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1506.47,118.1652,0.2
"209","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1627.08,117.8041,0.18
"210","LB 3",2,"Opal Reef","Long Bommie","Upper slope-crest","FALSE","Opal Long Bommie",29.5,1747.69,113.1949,0.16
